Day,Treatment,Yeast,Mating,Sex,CageID,Rep,TotalWeight1,TotalWeight2,BoatWeight1,BoatWeight2,AvTotal,AvBoat,AvBody
8,6,N,Y,F,3,1,54.156,54.171,52.9,52.958,54.1635,52.929,0.2469
8,6,N,Y,M,3,2,71.553,71.55,70.73,70.687,71.5515,70.7085,0.1686
8,6,N,Y,F,4,1,62.944,62.846,61.263,61.279,62.895,61.271,0.3248
8,6,N,Y,M,4,2,70.543,70.546,69.634,69.694,70.5445,69.664,0.1761
8,7,Y,Y,F,1,1,62.886,62.882,61.008,61.096,62.884,61.052,0.3664
8,7,Y,Y,M,1,2,78.119,78.131,77.151,77.175,78.125,77.163,0.1924
8,7,Y,Y,F,2,1,67.863,67.857,66.076,66.08,67.86,66.078,0.3564
8,7,Y,Y,M,2,2,69.815,69.859,68.814,68.814,69.837,68.814,0.2046
8,7,Y,Y,F,3,1,50.433,50.432,48.727,48.763,50.4325,48.745,0.3375
8,7,Y,Y,M,3,2,61.792,61.739,60.696,60.609,61.7655,60.6525,0.2226
8,7,Y,Y,F,4,1,69.198,69.14,67.507,67.538,69.169,67.5225,0.3293
8,7,Y,Y,M,4,2,83.824,83.815,82.738,82.667,83.8195,82.7025,0.2234
8,8,Y,Y,F,1,1,87.704,87.647,86.208,86.151,87.6755,86.1795,0.374
8,8,Y,Y,M,1,2,65.11,65.114,64.283,64.266,65.112,64.2745,0.209375
8,8,Y,Y,F,2,1,61.795,61.843,60.767,60.82,61.819,60.7935,0.2051
8,8,Y,Y,M,2,2,40.741,40.741,39.021,38.969,40.741,38.995,0.3492
8,8,Y,Y,F,3,1,54.604,54.621,52.76,52.778,54.6125,52.769,0.3687
8,8,Y,Y,M,3,2,78.104,78.135,77.073,77.124,78.1195,77.0985,0.2042
8,8,Y,Y,F,4,1,66.705,66.624,65.13,65.201,66.6645,65.1655,0.37475
8,8,Y,Y,M,4,2,74.543,74.568,73.55,73.575,74.5555,73.5625,0.1986
12,1,N,N,F,1,1,61.323,61.321,59.823,59.82,61.322,59.8215,0.3001
12,1,N,N,F,1,2,61.412,61.414,59.577,59.586,61.413,59.5815,0.3663
12,1,N,N,F,2,1,74.859,74.895,73.47,73.472,74.877,73.471,0.3515
12,1,N,N,F,2,2,68.355,68.323,66.673,66.66,68.339,66.6665,0.3345
12,1,N,N,F,3,1,69.861,69.913,68.256,68.229,69.887,68.2425,0.3289
12,1,N,N,F,3,2,66.071,66.041,64.588,64.516,66.056,64.552,0.3008
12,1,N,N,F,4,1,63.054,63.052,61.272,61.286,63.053,61.279,0.3548
12,1,N,N,F,4,2,57.982,57.982,56.167,56.141,57.982,56.154,0.3656
12,2,N,N,M,1,1,76.693,76.683,75.644,75.661,76.688,75.6525,0.2071
12,2,N,N,M,1,2,72.576,72.563,71.498,71.484,72.5695,71.491,0.2157
12,2,N,N,M,2,1,73.462,73.468,72.303,72.306,73.465,72.3045,0.2321
12,2,N,N,M,2,2,74.359,74.357,73.359,73.331,74.358,73.345,0.2026
12,2,N,N,M,3,1,68.643,68.675,67.627,67.632,68.659,67.6295,0.2059
12,2,N,N,M,3,2,65.692,65.722,64.644,64.651,65.707,64.6475,0.2119
12,2,N,N,M,4,1,66.961,66.946,65.975,65.968,66.9535,65.9715,0.1964
12,2,N,N,M,4,2,65.766,65.766,64.669,64.69,65.766,64.6795,0.2173
12,3,Y,N,F,1,1,89.842,89.845,87.947,87.967,89.8435,87.957,0.3773
12,3,Y,N,F,1,2,63.463,63.469,61.398,61.397,63.466,61.3975,0.4137
12,3,Y,N,F,2,1,72.989,73.015,70.973,70.94,73.002,70.9565,0.4091
12,3,Y,N,F,2,2,61.107,61.051,59.103,59.1,61.079,59.1015,0.3955
12,3,Y,N,F,3,1,77.667,77.657,75.857,75.866,77.662,75.8615,0.3601
12,3,Y,N,F,3,2,54.096,54.103,52.234,52.228,54.0995,52.231,0.3737
12,3,Y,N,F,4,1,75.138,75.141,73.323,73.28,75.1395,73.3015,0.3676
